ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
BFUTILITIE,IMMEDIATE_EXIT,EXIT,53,75,100,CRITICAL,50,50,55,0,67,"AI service error, Price 9.4% below 20-day SMA (breakdown), Price 13.0% below 50-day SMA","EXIT: Price 9.4% below 20-day SMA (breakdown); Price 13.0% below 50-day SMA; RSI oversold at 14.0 (potential further downside), proposed stop close< 659.71 (swing_low - 1.0*ATR), trail 35.38 (1.5×ATR)"
VIKRAMAR,IMMEDIATE_EXIT,EXIT,51,75,45,MEDIUM,50,50,80,0,50,"AI service error, Price 9.7% below 50-day SMA, Death cross: 20-day SMA below 50-day SMA (bearish)","EXIT: Price 9.7% below 50-day SMA; Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 5.8% of price), proposed stop close< 73.50 (swing_low - 1.0*ATR), trail 7.05 (1.5"
BHEL,HOLD,HOLD,46,75,8,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support)","HOLD: Low volume on downtrend (weak support), proposed stop close< 224.72 (swing_low - 1.0*ATR), trail 9.33 (1.5×ATR)"
CAPACITE,HOLD,HOLD,49,75,28,LOW,50,50,55,0,50,"AI service error, Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish), proposed stop close< 262.99 (swing_low - 1.0*ATR), trail 12.01 (1.5×ATR)"
CROMPTON,MONITOR,MONITOR,50,75,82,CRITICAL,50,50,20,0,61,"AI service error, Price 8.6% below 50-day SMA, RSI oversold at 28.4 (potential further downside)","MONITOR: Price 8.6% below 50-day SMA; RSI oversold at 28.4 (potential further downside); Negative 10-day momentum: -6.0%, proposed stop close< 269.51 (swing_low - 1.0*ATR), trail 7.71 (1.5×ATR)"
DATAPATTNS,MONITOR,HOLD,49,75,55,MEDIUM,50,50,20,0,51,"AI service error, Price 6.3% below 20-day SMA (breakdown), Negative 10-day momentum: -8.0%","HOLD: Price 6.3% below 20-day SMA (breakdown); Negative 10-day momentum: -8.0%; Low volume on downtrend (weak support), proposed stop close< 2500.49 (swing_low - 1.0*ATR), trail 112.82 (1.5×ATR)"
EASEMYTRIP,HOLD,HOLD,48,75,20,LOW,50,50,35,0,50,"AI service error, Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD: Death cross: 20-day SMA below 50-day SMA (bearish), proposed stop close< 7.69 (swing_low - 1.0*ATR), trail 0.23 (1.5×ATR)"
GATECHDVR,IMMEDIATE_EXIT,EXIT,51,75,40,MEDIUM,50,50,80,0,50,"AI service error, Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","EXIT: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 5.4% of price), proposed stop close< 0.47 (swing_low - 1.0*ATR), trail"
HUDCO,HOLD,HOLD,46,75,8,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support)","HOLD: Low volume on downtrend (weak support), proposed stop close< 219.46 (swing_low - 1.0*ATR), trail 7.65 (1.5×ATR)"
IDBI,HOLD,HOLD,47,75,13,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support), High short-term volatility (ATR 3.6% of price)","HOLD: Low volume on downtrend (weak support); High short-term volatility (ATR 3.6% of price), proposed stop close< 88.16 (swing_low - 1.0*ATR), trail 5.34 (1.5×ATR)"
MGL,HOLD,HOLD,49,75,35,LOW,50,50,35,0,50,"AI service error, RSI oversold at 28.9 (potential further downside), Low volume on downtrend (weak support)","HOLD: RSI oversold at 28.9 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band, proposed stop close< 1200.73 (swing_low - 1.0*ATR), trail 30.26 (1.5×"
NBCC,HOLD,HOLD,46,75,8,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support)","HOLD: Low volume on downtrend (weak support), proposed stop close< 107.13 (swing_low - 1.0*ATR), trail 4.07 (1.5×ATR)"
RBLBANK,HOLD,HOLD,46,75,8,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support)","HOLD: Low volume on downtrend (weak support), proposed stop close< 281.20 (swing_low - 1.0*ATR), trail 13.21 (1.5×ATR)"
GLENMARK,HOLD,HOLD,48,75,35,LOW,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down, proposed stop close< 1770.77 (swing_low - 1.0*ATR), trail 59.44 "
INDINFO,IMMEDIATE_EXIT,EXIT,54,75,100,CRITICAL,50,50,80,0,67,"AI service error, Price 9.4% below 20-day SMA (breakdown), Price 24.4% below 50-day SMA","EXIT: Price 9.4% below 20-day SMA (breakdown); Price 24.4% below 50-day SMA; RSI oversold at 25.0 (potential further downside), proposed stop close< 0.65 (swing_low - 1.0*ATR), trail 0.06 (1.5×ATR)"
