ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
BFUTILITIE,HOLD,HOLD,37,75,80,CRITICAL,30,40,55,0,78.0,,"BFUTILITIE shows severe technical deterioration with price below both key moving averages, extreme RSI oversold at 23.1, and collapsed volume. While extreme oversold conditions may trigger a technical"
VIKRAMAR,HOLD,HOLD,32,75,45,MEDIUM,30,25,80,0,62.0,,"VIKRAMAR shows technical weakness (below both SMAs, low volume) but no critical breakdown signals. The stock is in consolidation with conflicting timeframe trends. Absence of news prevents fundamental"
BHEL,HOLD,STRONG HOLD,22,75,0,NONE,20,30,20,0,72.0,,"BHEL exhibits extreme overbought conditions (RSI 79.83, price 2.23σ above BB mean) without news catalyst, creating mean-reversion risk. However, strong uptrend structure remains intact with volume con"
CAPACITE,HOLD,STRONG HOLD,4,75,20,LOW,0,0,55,0,35.0,"Price marginally below 50DMA (-1.1%), indicating potential resistance overhead, Below-average volume (0.78x) suggests lack of conviction in recent uptrend, Monthly trend bearish despite short-term recovery","HOLD position with close monitoring. Technical picture shows constructive short-term setup (above 20DMA, positive momentum, at highs) but caution warranted due to 50DMA resistance and subdued volume. "
CROMPTON,HOLD,HOLD,35,75,27,LOW,35,40,20,0,62.0,,"CROMPTON shows clear technical deterioration with price 6.5% below 50DMA and consistent downtrends across all timeframes. However, absence of fundamental news or panic selling (RSI 49) keeps this in M"
DATAPATTNS,HOLD,STRONG HOLD,14,75,15,NONE,15,10,20,0,42.0,,"Technical assessment shows minor weakness (below 20DMA, low volume, negative 10-day momentum) but NO critical breakdown signals. Price remains above 50DMA with neutral RSI and intact monthly uptrend. "
EASEMYTRIP,HOLD,HOLD,37,75,27,LOW,35,40,55,0,62.0,,"EaseMyTrip shows moderate technical deterioration with price below key moving averages and multi-timeframe downtrends, but lacks critical breakdown signals. No fundamental news suggests business issue"
GATECHDVR,HOLD,STRONG HOLD,4,75,5,NONE,0,0,80,0,42.0,,"HOLD recommended with moderate confidence. Technical weakness is present (below both SMAs, negative momentum) but lacks critical breakdown signals. No volume spike, no fundamental red flags, and price"
HUDCO,HOLD,STRONG HOLD,20,75,0,NONE,30,0,20,0,25.0,,"HUDCO shows strong technical health with price above key moving averages, positive momentum across all timeframes, and RSI in bullish zone. No technical breakdown signals present. Absence of news limi"
IDBI,HOLD,STRONG HOLD,27,75,5,NONE,35,15,20,0,28.0,,"IDBI shows strong technical health with golden cross, price above key moving averages, and multi-timeframe uptrend intact. No news available limits fundamental assessment, but technical structure rema"
MGL,HOLD,HOLD,33,75,15,NONE,35,30,35,0,58.0,,"MGL exhibits technical weakness with price below key moving averages and multi-timeframe downtrends, but lacks critical breakdown signals. Absence of news/fundamental catalysts combined with controlle"
NBCC,HOLD,STRONG HOLD,1,75,0,NONE,0,0,20,0,25.0,,"NBCC shows strong technical health with price above key moving averages, healthy RSI, and multi-timeframe uptrend. No fundamental deterioration evident. Lower volume is minor concern but insufficient "
RBLBANK,HOLD,STRONG HOLD,1,75,5,NONE,0,0,20,0,25.0,,"HOLD recommendation with high confidence. Stock shows strong technical momentum (16% above 50DMA, at 20-day highs) with intact uptrend across all timeframes. No fundamental deterioration or negative c"
GLENMARK,HOLD,STRONG HOLD,2,75,20,LOW,0,0,20,0,42.0,,Technical consolidation phase without breakdown signals. Price holding above 20DMA with neutral RSI and positive short-term momentum. Below 50DMA warrants monitoring but no critical support breaks or 
INDINFO,IMMEDIATE_EXIT,EXIT,60,75,92,CRITICAL,60,50,80,0,95.0,"Critical technical breakdown across all timeframes, Deeply oversold with no reversal signals, Multi-standard deviation below mean with expanding downtrend","IMMEDIATE EXIT recommended. Stock shows severe technical breakdown with price -23% below 50DMA, deeply oversold RSI (27.78), at 20-day lows, and negative momentum across all timeframes. With no news c"
