ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
CAPACITE,HOLD,HOLD,46,75,20,LOW,50,50,55,0,34,Death cross: 20-day SMA below 50-day SMA (bearish),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish)
CROMPTON,HOLD,HOLD,46,75,27,LOW,50,50,20,0,37,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down",Tech-driven assessment: score=37; signals: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down
DATAPATTNS,HOLD,HOLD,44,75,15,NONE,50,50,20,0,32,"Low volume on downtrend (weak support), Daily and weekly trends aligned down",Tech-driven assessment: score=32; signals: Low volume on downtrend (weak support); Daily and weekly trends aligned down
EASEMYTRIP,HOLD,HOLD,47,75,27,LOW,50,50,55,0,37,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down",Tech-driven assessment: score=37; signals: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down
GATECHDVR,HOLD,HOLD,48,75,22,LOW,50,50,80,0,35,"Unusual volume spike on down move, High short-term volatility (ATR 5.6% of price), Daily and weekly trends aligned down",Tech-driven assessment: score=35; signals: Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price)
HUDCO,HOLD,HOLD,42,75,0,NONE,50,50,20,0,25,No significant technical exit signals,Tech-driven assessment: score=25; signals: No significant technical exit signals
IDBI,HOLD,HOLD,43,75,5,NONE,50,50,20,0,27,High short-term volatility (ATR 3.4% of price),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 3.4% of price)
MGL,HOLD,HOLD,44,75,7,NONE,50,50,35,0,28,Daily and weekly trends aligned down,Tech-driven assessment: score=28; signals: Daily and weekly trends aligned down
NBCC,HOLD,HOLD,42,75,0,NONE,50,50,20,0,25,No significant technical exit signals,Tech-driven assessment: score=25; signals: No significant technical exit signals
RBLBANK,HOLD,HOLD,43,75,5,NONE,50,50,20,0,27,High short-term volatility (ATR 3.3% of price),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 3.3% of price)
GLENMARK,HOLD,HOLD,45,75,20,LOW,50,50,20,0,34,Death cross: 20-day SMA below 50-day SMA (bearish),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish)
INDINFO,IMMEDIATE_EXIT,EXIT,58,75,100,CRITICAL,50,50,80,0,75,"Price 7.9% below 20-day SMA (breakdown), Price 22.6% below 50-day SMA, RSI oversold at 27.8 (potential further downside)",Tech-driven assessment: score=75; signals: Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA
