rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
11,BANARBEADS,BANARBEADS,45.0,neutral,HOLD,High short-term volatility (ATR 5.8% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
12,ALPA,ALPA,45.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
13,DBCORP,DBCORP,45.0,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),No urgent exit signals,,30.0,1,33,Technical-only assessment (no recent news),"HOLD suggested. Tech=33/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
14,BHEL,BHEL,45.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
15,CAPACITE,CAPACITE,45.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
16,CROMPTON,CROMPTON,45.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
17,DATAPATTNS,DATAPATTNS,45.0,neutral,HOLD,Low volume on downtrend (weak support); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,15,Technical-only assessment (no recent news),"HOLD suggested. Tech=15/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
18,EASEMYTRIP,EASEMYTRIP,45.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,27,Technical-only assessment (no recent news),"HOLD suggested. Tech=27/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
19,GATECHDVR,GATECHDVR,45.0,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,22,Technical-only assessment (no recent news),"HOLD suggested. Tech=22/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
20,HUDCO,HUDCO,45.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
21,IDBI,IDBI,45.0,neutral,HOLD,High short-term volatility (ATR 3.4% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
22,MGL,MGL,45.0,neutral,HOLD,Daily and weekly trends aligned down,No urgent exit signals,,30.0,1,7,Technical-only assessment (no recent news),"HOLD suggested. Tech=7/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
23,NBCC,NBCC,45.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,30.0,1,0,Technical-only assessment (no recent news),"HOLD suggested. Tech=0/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
24,RBLBANK,RBLBANK,45.0,neutral,HOLD,High short-term volatility (ATR 3.3% of price),No urgent exit signals,,30.0,1,5,Technical-only assessment (no recent news),"HOLD suggested. Tech=5/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
25,GLENMARK,GLENMARK,45.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,30.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~45/100, SentimentRisk~50/100. Provider=codex."
