Symbol,Security Name
ANLON,ANLON TECHNOLOGY SOLUTIONS LIMITED
APCL,ANJANI PORTLAND CEMENT LIMITED
APS,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED
ARCHIES,ARCHIES LIMITED
ARENTERP,RAJDARSHAN INDUSTRIES LIMITED
ARFIN,ARFIN INDIA LIMITED
ARSHIYA,ARSHIYA LIMITED
ARTNIRMAN,ART NIRMAN LIMITED
ARUNAYA,ARUNAYA ORGANICS LIMITED
ARVEE,ARVEE LABORATORIES (INDIA) LIMITED
ARVINDPORT,ARVIND PORT AND INFRA LIMITED
ASCOM,ASCOM LEASING & INVESTMENTS LIMITED
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED
ASIANTILES,ASIAN GRANITO INDIA LIMITED
ASLIND,ASL INDUSTRIES LIMITED
ASTRON,ASTRON PAPER & BOARD MILL LIMITED
ATALREAL,ATAL REALTECH LIMITED
ATLASCYCLE,ATLAS CYCLES (HARYANA) LIMITED
AUSL,ADITYA ULTRA STEEL LIMITED
AUSOMENT,AUSOM ENTERPRISE LIMITED
AVSL,AVSL INDUSTRIES LIMITED
AXISCADES,AXISCADES TECHNOLOGIES LIMITED
BAFNAPH,BAFNA PHARMACEUTICALS LIMITED
BAJAJINDEF,INDEF MANUFACTURING LIMITED
BAJEL,BAJEL PROJECTS LIMITED
BALAJIPHOS,BALAJI PHOSPHATES LIMITED
BALCO,SOLVE PLASTIC PRODUCTS LIMITED
BALUFORGE,BALU FORGE INDUSTRIES LIMITED
BANKA,BANKA BIOLOO LIMITED
BARFLEX,BARFLEX POLYFILMS LIMITED
BASILIC,BASILIC FLY STUDIO LIMITED
BBOX,BLACK BOX LIMITED
BCG,BRIGHTCOM GROUP LIMITED
BDR,BDR BUILDCON LIMITED
BESTAGRO,BEST AGROLIFE LIMITED
BEWLTD,BEW ENGINEERING LIMITED
BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LIMITED
BGRENERGY,BGR ENERGY SYSTEMS LIMITED
BHAGYANGR,BHAGYANAGAR INDIA LIMITED
BHARATSE,BHARAT SEATS LIMITED
BIKEWO,BIKEWO GREEN TECH LIMITED
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED
BIRDYS,GRILL SPLENDOUR SERVICES LIMITED
BIRLACABLE,BIRLA CABLE LIMITED
BLSE,BLS E-SERVICES LIMITED
BLUECOAST,BLUE COAST HOTELS LIMITED
BLUEJET,BLUE JET HEALTHCARE LIMITED
BOHRAIND,BOHRA INDUSTRIES LIMITED
BOSS,BOSS PACKAGING SOLUTIONS LIMITED
BROOKS,BROOKS LABORATORIES LIMITED
BULKCORP,BULKCORP INTERNATIONAL LIMITED
BVCL,BARAK VALLEY CEMENTS LIMITED
C2C,C2C ADVANCED SYSTEMS LIMITED
CADSYS,CADSYS (INDIA) LIMITED
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED
CALSOFTPP,CALIFORNIA SOFTWARE COMPANY LIMITED
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED
CAPTRUST,CAPITAL TRUST LIMITED
CBAZAAR,NET AVENUE TECHNOLOGIES LIMITED
CENTRUM,CENTRUM CAPITAL LIMITED
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED
CHANDAN,CHANDAN HEALTHCARE LIMITED
CINEVISTA,CINEVISTA LIMITED
CLEDUCATE,CL EDUCATE LIMITED
CMICABLES,CMI LIMITED
CMRSL,CYBER MEDIA RESEARCH & SERVICES LIMITED
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED
COMMITTED,COMMITTED CARGO CARE LIMITED
COMPINFO,COMPUAGE INFOCOM LIMITED
CONTI,CONTINENTAL SEEDS AND CHEMICALS LIMITED
COUNCODOS,COUNTRY CONDO'S LIMITED
CPEDU,CAREER POINT EDUTECH LIMITED
CPPLUS,ADITYA INFOTECH LIMITED
CPS,C P S SHAPERS LIMITED
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED
CUBEXTUB,CUBEX TUBINGS LIMITED
CURAA,CURA TECHNOLOGIES LIMITED
CURRENT,CURRENT INFRAPROJECTS LIMITED
CYBERMEDIA,CYBER MEDIA (INDIA) LIMITED
CYBERPP,CYBER MEDIA (INDIA) LIMITED
DANGEE,DANGEE DUMS LIMITED
DCAL,DISHMAN CARBOGEN AMCIS LIMITED
DCMFINSERV,DCM FINANCIAL SERVICES LIMITED
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTAMAGNT,DELTA MANUFACTURING LIMITED
DESTINY,DESTINY LOGISTICS & INFRA LIMITED
DGCONTENT,DIGICONTENT LIMITED
DHRUV,DHRUV CONSULTANCY SERVICES LIMITED
DIGJAMLMTD,DIGJAM LIMITED
DIVINEHIRA,DIVINE HIRA JEWELLERS LIMITED
DIVYADHAN,DIVYADHAN RECYCLING INDUSTRIES LIMITED
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED
DRL,DHANUKA REALTY LIMITED
DRSDILIP,DRS DILIP ROADLINES LIMITED
E2E,E2E NETWORKS LIMITED
EASTSILK,EASTERN SILK INDUSTRIES LIMITED
EDUCOMP,EDUCOMP SOLUTIONS LIMITED
EFFWA,EFFWA INFRA & RESEARCH LIMITED
EIFFL,EURO INDIA FRESH FOODS LIMITED
ELECTHERM,ELECTROTHERM (INDIA) LIMITED
ELGIRUBCO,ELGI RUBBER COMPANY LIMITED
EMAMIREAL,EMAMI REALTY LIMITED
ENERGYDEV,ENERGY DEVELOPMENT COMPANY LIMITED
ENSER,ENSER COMMUNICATIONS LIMITED
EQUIPPP,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED
ESCONET,ESCONET TECHNOLOGIES LIMITED
ESFL,ESSEN SPECIALITY FILMS LIMITED
ESSARSHPNG,ESSAR SHIPPING LIMITED
FALCONTECH,FALCON TECHNOPROJECTS INDIA LIMITED
FCONSUMER,FUTURE CONSUMER LIMITED
FELDVR,FUTURE ENTERPRISES LIMITED
FLEXITUFF,FLEXITUFF VENTURES INTERNATIONAL LIMITED
FLFL,FUTURE LIFESTYLE FASHIONS LIMITED
FLYSBS,FLYSBS AVIATION LIMITED
FMNL,FUTURE MARKET NETWORKS LIMITED
FOCE,FOCE INDIA LIMITED
FOODSIN,FOODS & INNS LIMITED
FORCAS,FORCAS STUDIO LIMITED
FORGEAUTO,FORGE AUTO INTERNATIONAL LIMITED
FSC,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED
GANGABATH,GANGA BATH FITTINGS LIMITED
GANGAFORGE,GANGA FORGING LIMITED
GATECHDVR,GACM TECHNOLOGIES LIMITED
GAYAHWS,GAYATRI HIGHWAYS LIMITED
GAYAPROJ,GAYATRI PROJECTS LIMITED
GCHOTELS,GRAND CONTINENT HOTELS LIMITED
GENSOL,GENSOL ENGINEERING LIMITED
GFSTEELS,GRAND FOUNDRY LIMITED
GINNIFILA,GINNI FILAMENTS LIMITED
GLFL,GUJARAT LEASE FINANCING LIMITED
GLOBAL,GLOBAL EDUCATION LIMITED
GODAVARIB,GODAVARI BIOREFINERIES LIMITED
GODHA,GODHA CABCON & INSULATION LIMITED
GOENKA,GOENKA DIAMOND AND JEWELS LIMITED
GOLDENTOBC,GOLDEN TOBACCO LIMITED
GOLDKART,GOLDKART JEWELS LIMITED
GOLDSTAR,GOLDSTAR POWER LIMITED
GPECO,GP ECO SOLUTIONS INDIA LIMITED
GRAPHISAD,GRAPHISADS LIMITED
GRETEX,GRETEX INDUSTRIES LIMITED
GSMFOILS,GSM FOILS LIMITED
GSTL,GLOBESECURE TECHNOLOGIES LIMITED
GTECJAINX,G-TEC JAINX EDUCATION LIMITED
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LIMITED
GVT&D,GE VERNOVA T&D INDIA LIMITED
HAVISHA,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED
HBSL,HB STOCKHOLDINGS LIMITED
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED
HCL-INSYS,HCL INFOSYSTEMS LIMITED
HDIL,HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED
HECPROJECT,HEC INFRA PROJECTS LIMITED
HGM,HANDSON GLOBAL MANAGEMENT (HGM) LIMITED
HILTON,HILTON METAL FORGING LIMITED
HINDMOTORS,HINDUSTAN MOTORS LIMITED
HIRECT,HIND RECTIFIERS LIMITED
HITECHGEAR,THE HI-TECH GEARS LIMITED
HMT,HMT LIMITED
HOACFOODS,HOAC FOODS INDIA LIMITED
HOLMARC,HOLMARC OPTO-MECHATRONICS LIMITED
HOMESFY,HOMESFY REALTY LIMITED
HRHNEXT,HRH NEXT SERVICES LIMITED
HTMEDIA,HT MEDIA LIMITED
HVAX,HVAX TECHNOLOGIES LIMITED
IBLFL,IBL FINANCE LIMITED
ICDSLTD,ICDS LIMITED
IDEALTECHO,IDEAL TECHNOPLAST INDUSTRIES LIMITED
IFBAGRO,IFB AGRO INDUSTRIES LIMITED
IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED
IL&FSTRANS,IL&FS TRANSPORTATION NETWORKS LIMITED
IMPEXFERRO,IMPEX FERRO TECH LIMITED
INDIFRA,INDIFRA LIMITED
INDOBORAX,INDO BORAX & CHEMICALS LIMITED
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED
INDOTECH,INDO TECH TRANSFORMERS LIMITED
INDOTHAI,INDO THAI SECURITIES LIMITED
INDSWFTLAB,IND-SWIFT LABORATORIES LIMITED
INFINIUM,INFINIUM PHARMACHEM LIMITED
INFLUX,INFLUX HEALTHTECH LIMITED
INFOMEDIA,INFOMEDIA PRESS LIMITED
INNOMET,INNOMET ADVANCED MATERIALS LIMITED
INNOVANA,INNOVANA THINKLABS LIMITED
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED
INTERARCH,INTERARCH BUILDING SOLUTIONS LIMITED
IRIS,IRIS BUSINESS SERVICES LIMITED
IRISDOREME,IRIS CLOTHINGS LIMITED
ISHANCH,ISHAN DYES AND CHEMICALS LIMITED
IWARE,IWARE SUPPLYCHAIN SERVICES LIMITED
IZMO,IZMO LIMITED
JAINAM,JAINAM FERRO ALLOYS (I) LIMITED
JAINIK,JAINIK POWER CABLES LIMITED
JAKHARIA,JAKHARIA FABRIC LIMITED
JALAN,JALAN TRANSOLUTIONS (INDIA) LIMITED
JAYBARMARU,JAY BHARAT MARUTI LIMITED
JETKNIT,JET KNITWEARS LIMITED
JFLLIFE,JFL LIFE SCIENCES LIMITED
JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED
JSWHL,JSW HOLDINGS LIMITED
JUBLCPL,JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED
K2INFRA,K2 INFRAGEN LIMITED
KALYANI,KALYANI COMMERCIALS LIMITED
KANDARP,KANDARP DIGI SMART BPO LIMITED
KARMAENG,KARMA ENERGY LIMITED
KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED
KAVDEFENCE,KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED
KAYA,KAYA LIMITED
KCEIL,KAY CEE ENERGY & INFRA LIMITED
KEEPLEARN,DSJ KEEP LEARNING LIMITED
KERNEX,KERNEX MICROSYSTEMS (INDIA) LIMITED
KESORAMIND,KESORAM INDUSTRIES LIMITED
KHAITANLTD,KHAITAN (INDIA) LIMITED
KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED
KITEX,KITEX GARMENTS LIMITED
KKVAPOW,KKV AGRO POWERS LIMITED
KORE,JAY JALARAM TECHNOLOGIES LIMITED
KOTYARK,KOTYARK INDUSTRIES LIMITED
KREBSBIO,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED
KRIDHANINF,KRIDHAN INFRA LIMITED
KRITI,KRITI INDUSTRIES (INDIA) LIMITED
KTL,KALAHRIDHAAN TRENDZ LIMITED
LAKPRE,LAKSHMI PRECISION SCREWS LIMITED
LAL,LORENZINI APPARELS LIMITED
LCCINFOTEC,LCC INFOTECH LIMITED
LGHL,LAXMI GOLDORNA HOUSE LIMITED
LINC,LINC LIMITED
LIQUIDBEES,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES
LORDSCHLO,LORDS CHLORO ALKALI LIMITED
LOTUSEYE,LOTUS EYE HOSPITAL AND INSTITUTE LIMITED
LOYALTEX,LOYAL TEXTILE MILLS LIMITED
LRRPL,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED
LYPSAGEMS,LYPSA GEMS & JEWELLERY LIMITED
MAANALU,MAAN ALUMINIUM LIMITED
MADHAVBAUG,VAIDYA SANE AYURVED LABORATORIES LIMITED
MADHUCON,MADHUCON PROJECTS LIMITED
MAGSON,MAGSON RETAIL AND DISTRIBUTION LIMITED
MAL,MANGALAM ALLOYS LIMITED
MANAKSTEEL,MANAKSIA STEELS LIMITED
MANAV,MANAV INFRA PROJECTS LIMITED
MANDEEP,MANDEEP AUTO INDUSTRIES LIMITED
MANORG,MANGALAM ORGANICS LIMITED
MARINE,MARINE ELECTRICALS (INDIA) LIMITED
MARINETRAN,MARINETRANS INDIA LIMITED
MARSHALL,MARSHALL MACHINES LIMITED
MASON,MASON INFRATECH LIMITED
MASTER,MASTER COMPONENTS LIMITED
MCON,MCON RASAYAN INDIA LIMITED
MEDIORG,MEDICAMEN ORGANICS LIMITED
MEGAFLEX,MEGA FLEX PLASTICS LIMITED
MEGASOFT,MEGASOFT LIMITED
MHHL,MOHINI HEALTH & HYGIENE LIMITED
MIEL,MANGLAM INFRA & ENGINEERING LIMITED
MILTON,MILTON INDUSTRIES LIMITED
MINDPOOL,MINDPOOL TECHNOLOGIES LIMITED
MINDTECK,MINDTECK (INDIA) LIMITED
MIRCELECTR,MIRC ELECTRONICS LIMITED
MKPL,M K PROTEINS LIMITED
MODTHREAD,MODERN THREADS (INDIA) LIMITED
MONOLITH,MONOLITHISCH INDIA LIMITED
MORARJEE,MORARJEE TEXTILES LIMITED
MOXSH,MOXSH OVERSEAS EDUCON LIMITED
MPTODAY,MADHYA PRADESH TODAY MEDIA LIMITED
MTEDUCARE,MT EDUCARE LIMITED
NACLIND,NACL INDUSTRIES LIMITED
NAHARCAP,NAHAR CAPITAL AND FINANCIAL SERVICES LIMITED
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LIMITED
NATHBIOGEN,NATH BIO-GENES (INDIA) LIMITED
NAVKARURB,NAVKAR URBANSTRUCTURE LIMITED
NDLVENTURE,NDL VENTURES LIMITED
NDTV,NEW DELHI TELEVISION LIMITED
NECLIFE,NECTAR LIFESCIENCES LIMITED
NEELAM,NEELAM LINENS AND GARMENTS (INDIA) LIMITED
NEPHROCARE,NEPHRO CARE INDIA LIMITED
NEWJAISA,NEWJAISA TECHNOLOGIES LIMITED
NIBE,NIBE LIMITED
NIRAJISPAT,NIRAJ ISPAT INDUSTRIES LIMITED
NIRMAN,NIRMAN AGRI GENETICS LIMITED
NOIDATOLL,NOIDA TOLL BRIDGE COMPANY LIMITED
NRAIL,N R AGARWAL INDUSTRIES LIMITED
OBSCP,OBSC PERFECTION LIMITED
OCCLLTD,OCCL LIMITED
ODIGMA,ODIGMA CONSULTANCY SOLUTIONS LIMITED
OILCOUNTUB,OIL COUNTRY TUBULAR LIMITED
OLAELEC,OLA ELECTRIC MOBILITY LIMITED
OMAXAUTO,OMAX AUTOS LIMITED
OMKARCHEM,OMKAR SPECIALITY CHEMICALS LIMITED
ONELIFECAP,ONELIFE CAPITAL ADVISORS LIMITED
ONEPOINT,ONE POINT ONE SOLUTIONS LIMITED
ONWARDTEC,ONWARD TECHNOLOGIES LIMITED
OPTIVALUE,OPTIVALUE TEK CONSULTING LIMITED
ORBTEXP,ORBIT EXPORTS LIMITED
ORCHASP,ORCHASP LIMITED
ORIANA,ORIANA POWER LIMITED
ORTEL,ORTEL COMMUNICATIONS LIMITED
OSIAHYPER,OSIA HYPER RETAIL LIMITED
OSWALSEEDS,SHREEOSWAL SEEDS AND CHEMICALS LIMITED
PALREDTEC,PALRED TECHNOLOGIES LIMITED
PANSARI,PANSARI DEVELOPERS LIMITED
PAR,PAR DRUGS AND CHEMICALS LIMITED
PARIN,PARIN ENTERPRISES LIMITED
PARSVNATH,PARSVNATH DEVELOPERS LIMITED
PARTH,PARTH ELECTRICALS & ENGINEERING LIMITED
PERFECT,PERFECT INFRAENGINEERS LIMITED
PFOCUS,PRIME FOCUS LIMITED
PHANTOMFX,PHANTOM DIGITAL EFFECTS LIMITED
PIGL,POWER & INSTRUMENTATION (GUJARAT) LIMITED
PKTEA,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED
PLADAINFO,PLADA INFOTECH SERVICES LIMITED
PPSL,PICTUREPOST STUDIOS LIMITED
PRAENG,PRAJAY ENGINEERS SYNDICATE LIMITED
PRAMARA,PRAMARA PROMOTIONS LIMITED
PRECISION,PRECISION METALIKS LIMITED
PRECOT,PRECOT LIMITED
PREMIER,PREMIER LIMITED
PRIZOR,PRIZOR VIZTECH LIMITED
PROLIFE,PROLIFE INDUSTRIES LIMITED
PURPLEUTED,PURPLE UNITED SALES LIMITED
PURVFLEXI,PURV FLEXIPACK LIMITED
PVP,PVP VENTURES LIMITED
QFIL,QUALITY FOILS (INDIA) LIMITED
QUADPRO,QUADPRO ITES LIMITED
QUINTEGRA,QUINTEGRA SOLUTIONS LIMITED
QVCEL,QVC EXPORTS LIMITED
RADAAN,RADAAN MEDIAWORKS INDIA LIMITED
RAJOOENG,RAJOO ENGINEERS LIMITED
RAJTV,RAJ TELEVISION NETWORK LIMITED
RAJVIR,RAJVIR INDUSTRIES LIMITED
RAMAPHO,RAMA PHOSPHATES LIMITED
RAMCOSYS,RAMCO SYSTEMS LIMITED
RBMINFRA,RBM INFRACON LIMITED
RCOM,RELIANCE COMMUNICATIONS LIMITED
READYMIX,READYMIX CONSTRUCTION MACHINERY LIMITED
REFRACTORY,REFRACTORY SHAPES LIMITED
REGENCERAM,REGENCY CERAMICS LIMITED
RELIABLE,RELIABLE DATA SERVICES LIMITED
RELINFRA,RELIANCE INFRASTRUCTURE LIMITED
RELTD,RAVINDRA ENERGY LIMITED
REXPIPES,REX PIPES AND CABLES INDUSTRIES LIMITED
RHFL,RELIANCE HOME FINANCE LIMITED
RICHA,RICHA INFO SYSTEMS LIMITED
RISHABH,RISHABH INSTRUMENTS LIMITED
ROLLT,ROLLATAINERS LIMITED
ROLTA,ROLTA INDIA LIMITED
ROML,RAJ OIL MILLS LIMITED
RPOWER,RELIANCE POWER LIMITED
RUCHINFRA,RUCHI INFRASTRUCTURE LIMITED
RVTH,REVATHI EQUIPMENT INDIA LIMITED
S&SPOWER,S&S POWER SWITCHGEARS LIMITED
SAAKSHI,SAAKSHI MEDTECH AND PANELS LIMITED
SABAR,SABAR FLEX INDIA LIMITED
SABEVENTS,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED
SABTNL,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED
SADBHAV,SADBHAV ENGINEERING LIMITED
SADBHIN,SADBHAV INFRASTRUCTURE PROJECT LIMITED
SAHAJ,SAHAJ FASHIONS LIMITED
SAIFL,SAMEERA AGRO AND INFRA LIMITED
SAKAR,SAKAR HEALTHCARE LIMITED
SALSTEEL,S.A.L. STEEL LIMITED
SANCO,SANCO INDUSTRIES LIMITED
SANGANI,SANGANI HOSPITALS LIMITED
SAROJA,SAROJA PHARMA INDUSTRIES INDIA LIMITED
SATIPOLY,SATI POLY PLAST LIMITED
SATKARTAR,SAT KARTAR SHOPPING LIMITED
SATTVAENGG,SATTVA ENGINEERING CONSTRUCTION LIMITED
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
SECL,SALASAR EXTERIORS AND CONTOUR LIMITED
SECMARK,SECMARK CONSULTANCY LIMITED
SEJALLTD,SEJAL GLASS LIMITED
SELMC,SEL MANUFACTURING COMPANY LIMITED
SEMAC,SEMAC CONSTRUCTION LIMITED
SETCO,SETCO AUTOMOTIVE LIMITED
SETUINFRA,SETUBANDHAN INFRASTRUCTURE LIMITED
SEYAIND,SEYA INDUSTRIES LIMITED
SGL,STL GLOBAL LIMITED
SGLTL,STANDARD GLASS LINING TECHNOLOGY LIMITED
SHAH,SHAH METACORP LIMITED
SHAHALLOYS,SHAH ALLOYS LIMITED
SHAIVAL,SHAIVAL REALITY LIMITED
SHANTI,SHANTI OVERSEAS (INDIA) LIMITED
SHEKHAWATI,SHEKHAWATI INDUSTRIES LIMITED
SHEMAROO,SHEMAROO ENTERTAINMENT LIMITED
SHILPAMED,SHILPA MEDICARE LIMITED
SHIVAUM,SHIV AUM STEELS LIMITED
SHREERAMA,SHREE RAMA MULTI-TECH LIMITED
SHREYANIND,SHREYANS INDUSTRIES LIMITED
SHUBHLAXMI,SHUBHLAXMI JEWEL ART LIMITED
SHYAMTEL,SHYAM TELECOM LIMITED
SICALLOG,SICAL LOGISTICS LIMITED
SIDDHIKA,SIDDHIKA COATINGS LIMITED
SIGIND,SIGNET INDUSTRIES LIMITED
SIGNORIA,SIGNORIA CREATION LIMITED
SILGO,SILGO RETAIL LIMITED
SILKFLEX,SILKFLEX POLYMERS (INDIA) LIMITED
SIMBHALS,SIMBHAOLI SUGARS LIMITED
SKIL,SKIL INFRASTRUCTURE LIMITED
SKMEGGPROD,SKM EGG PRODUCTS EXPORT (INDIA) LIMITED
SLONE,SLONE INFOSYSTEMS LIMITED
SMLISUZU,SML ISUZU LIMITED
SNEHAA,SNEHAA ORGANICS LIMITED
SOLEX,SOLEX ENERGY LIMITED
SOMATEX,SOMA TEXTILES & INDUSTRIES LIMITED
SONUINFRA,SONU INFRATECH LIMITED
SOTAC,SOTAC PHARMACEUTICALS LIMITED
SOUTHWEST,SOUTH WEST PINNACLE EXPLORATION LIMITED
SPCENET,SPACENET ENTERPRISES INDIA LIMITED
SPECTSTM,SPECTRUM TALENT MANAGEMENT LIMITED
SPPPOLY,SPP POLYMER LIMITED
SPRL,SP REFRACTORIES LIMITED
SRD,SHANKAR LAL RAMPAL DYE-CHEM LIMITED
STCINDIA,THE STATE TRADING CORPORATION OF INDIA LIMITED
STLNETWORK,STL NETWORKS LIMITED
SUBEXLTD,SUBEX LIMITED
SUMEETINDS,SUMEET INDUSTRIES LIMITED
SUPREMEENG,SUPREME ENGINEERING LIMITED
SUPREMEINF,SUPREME INFRASTRUCTURE INDIA LIMITED
SUPREMEPWR,SUPREME POWER EQUIPMENT LIMITED
SUULD,SUUMAYA INDUSTRIES LIMITED
SUVEN,SUVEN LIFE SCIENCES LIMITED
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED
SVLL,SHREE VASU LOGISTICS LIMITED
SWANDEF,SWAN DEFENCE AND HEAVY INDUSTRIES LIMITED
SYNCOMF,SYNCOM FORMULATIONS (INDIA) LIMITED
SYNOPTICS,SYNOPTICS TECHNOLOGIES LIMITED
TAC,TAC INFOSEC LIMITED
TAKE,TAKE SOLUTIONS LIMITED
TAPIFRUIT,TAPI FRUIT PROCESSING LIMITED
TARAPUR,TARAPUR TRANSFORMERS LIMITED
TBI,TBI CORN LIMITED
TCIFINANCE,TCI FINANCE LIMITED
TEAMGTY,TEAM INDIA GUARANTY LIMITED
TECHERA,TECHERA ENGINEERING (INDIA) LIMITED
TECHLABS,TRIDENT TECHLABS LIMITED
TECILCHEM,TECIL CHEMICALS AND HYDRO POWER LIMITED
TEJASCARGO,TEJAS CARGO INDIA LIMITED
TERASOFT,TERA SOFTWARE LIMITED
TFL,TRANSWARRANTY FINANCE LIMITED
TGL,TEERTH GOPICON LIMITED
THESL,THINKING HATS ENTERTAINMENT SOLUTIONS LIMITED
THOMASCOTT,THOMAS SCOTT (INDIA) LIMITED
TIJARIA,TIJARIA POLYPIPES LIMITED
TIL,TIL LIMITED
TIMESCAN,TIMESCAN LOGISTICS (INDIA) LIMITED
TIRUPATI,SHREE TIRUPATI BALAJEE FIBC LIMITED
TNPETRO,TAMILNADU PETROPRODUCTS LIMITED
