rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
11,BANARBEADS,BANARBEADS,50.0,neutral,HOLD,High short-term volatility (ATR 5.8% of price),,,30.0,1,50.78594804724098,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
12,ALPA,ALPA,50.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),,,30.0,1,49.75768362306122,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
13,DBCORP,DBCORP,50.0,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),,,30.0,1,50.33467196672889,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
14,BHEL,BHEL,50.0,neutral,HOLD,No significant technical exit signals,,,30.0,1,73.64184352525766,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
15,CAPACITE,CAPACITE,50.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),,,30.0,1,50.401844370710094,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
16,CROMPTON,CROMPTON,50.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,,,30.0,1,43.015235985560935,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
17,DATAPATTNS,DATAPATTNS,50.0,neutral,HOLD,Low volume on downtrend (weak support); Daily and weekly trends aligned down,,,30.0,1,44.496315971983236,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
18,EASEMYTRIP,EASEMYTRIP,50.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,,,30.0,1,44.76191124946924,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
19,GATECHDVR,GATECHDVR,50.0,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,,,30.0,1,42.85713069293357,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
20,HUDCO,HUDCO,50.0,neutral,HOLD,No significant technical exit signals,,,30.0,1,54.95868366325451,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
21,IDBI,IDBI,50.0,neutral,HOLD,High short-term volatility (ATR 3.4% of price),,,30.0,1,69.93060900721146,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
22,MGL,MGL,50.0,neutral,HOLD,Daily and weekly trends aligned down,,,30.0,1,43.26346566768696,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
23,NBCC,NBCC,50.0,neutral,HOLD,No significant technical exit signals,,,30.0,1,60.68375540372279,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
24,RBLBANK,RBLBANK,50.0,neutral,HOLD,High short-term volatility (ATR 3.3% of price),,,30.0,1,72.60898571212999,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
25,GLENMARK,GLENMARK,50.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),,,30.0,1,38.71418800559542,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
