rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
11,CROMPTON,CROMPTON,53.2,bearish,MONITOR,Price below 20DMA and 50DMA with downtrend confirmation; Multi-timeframe bearish alignment (10D/weekly/monthly down); Lower Bollinger Band proximity indicating selling pressure,No fundamental deterioration or negative news catalysts; RSI neutral at 49.42 - not in panic territory; Price near recent support (1.43% above 20D low),Continued weakness below 50DMA could accelerate downside to 295-300 zone; Lack of volume spike (1.02x ratio) suggests weak conviction in current levels; Multi-timeframe downtrend alignment increases probability of further decline; Opportunity cost risk - capital deployed in weakening asset during broader market strength,72.0,1,52,Technical-only assessment (no recent news),"MONITOR closely with partial exit consideration. Technical deterioration is clear (below both moving averages, multi-timeframe downtrend) but absence of fundamental catalysts and neutral RSI suggest this may be sector rotation rather than stock-specific crisis. Set stop-loss at 3-4% below current levels (₹274-276 zone). If 50DMA resistance at ₹304 is not reclaimed within 2-3 weeks, consider redeploying capital to stronger momentum names.",274.0,274.0,close< 274.42 (swing_low - 1.0*ATR),8.52 (1.5×ATR),20DMA
12,UPL,UPL,50.4,neutral,MONITOR,RSI extremely overbought at 79.19 indicating exhaustion risk; Price 2.2 standard deviations above Bollinger Band mean - unsustainable extension; Volume spike (1.6x) on recent rally suggests climactic buying; No fundamental catalyst provided to justify 9% surge from 20-day low; Strong short-term momentum (7.3% in 10 days) vulnerable to profit-taking,"Price above both SMA20 (+6.3%) and SMA50 (+5.6%) showing intact uptrend structure; All timeframe trends (weekly, monthly, recent) remain positive; No confirmed technical breakdown - support levels not breached",,50.0,1,45,Technical-only assessment (no recent news),"UPL shows classic technical overextension with RSI at 79 and price 2.2σ above BB mean, creating high mean-reversion risk. However, absence of fundamental deterioration and intact trend structure prevents immediate exit. MONITOR closely with tight stops - book partial profits and trail stop-loss aggressively given unsustainable technical position.",695.0,690.0,close< 655.80 (swing_low - 1.0*ATR),21.22 (1.5×ATR),20DMA
13,GATECHDVR,GATECHDVR,36.4,neutral,HOLD,Price trading below both 20DMA (-2.4%) and 50DMA (-3.8%); Negative 10-day momentum (-3.7%); Weekly trend showing downward pressure; Distance from 20-day high at 10.3% indicates weakness,"RSI at 46.15 remains neutral, not oversold or broken; Price only 2% from 20-day low, limited downside visible; Volume ratio normal at 1.01x, no panic selling",,50.0,1,35,Technical-only assessment (no recent news),"Technical weakness present but not critical. Price trades below key moving averages with negative momentum, earning 35 technical breakdown points. However, RSI remains neutral, volume shows no distribution, and price near 20-day lows limits downside. With zero fundamental or sentiment risks due to no news, total exit urgency of 42 suggests HOLD with vigilance on ₹0.50 support level.",0.5,0.5,close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
14,MGL,MGL,35.6,neutral,HOLD,"Price trading below both 20DMA (-1.10%) and 50DMA (-1.25%) indicating short-term weakness; Low volume (40% of average) suggests lack of conviction in current price action; Consecutive down trends across 10-day, weekly, and monthly timeframes","Technical weakness is mild, not critical; No fundamental deterioration signals; Price near support zone limits downside",Weak momentum across multiple timeframes could persist if sector sentiment deteriorates; Below-average volume suggests weak buyer interest and potential for drift lower; Price proximity to both moving averages creates resistance overhead for any recovery attempt,72.0,1,35,Technical-only assessment (no recent news),"HOLD position with tight monitoring. Technical weakness is present but moderate - not severe enough to warrant immediate exit. Price already near support levels with limited downside, no fundamental red flags, and RSI showing stabilization potential. Current weakness appears consolidation rather than breakdown. Consider 3-5% stop loss below current levels.",1220.0,1220.0,close< 1249.51 (swing_low - 1.0*ATR),33.29 (1.5×ATR),20DMA
15,DBCORP,DBCORP,29.4,neutral,HOLD,Price marginally below 50DMA (-1.33%) indicating mild weakness; Volume significantly below average (70% decline) showing reduced conviction; Monthly trend bearish despite short-term recovery,Neutral RSI and price above 20DMA support continuation; No news-driven negative catalysts present; Recent uptrend momentum intact despite volume weakness,Low volume participation (72K vs 243K avg) creates liquidity risk; Monthly downtrend conflicts with short-term rally - consolidation risk; Price hovering near 50DMA resistance - failure to reclaim could trigger weakness,72.0,1,28,Technical-only assessment (no recent news),"HOLD position with close monitoring. Technical picture shows mixed signals - constructive short-term momentum (+6.2% 10d, above 20DMA) but concerning volume decline and monthly bearish trend. No fundamental or sentiment deterioration justifies exit. Risk/reward remains balanced with capital preservation priority.",0.0,246.0,close< 227.24 (swing_low - 1.0*ATR),18.25 (1.5×ATR),20DMA
16,GLENMARK,GLENMARK,28.4,neutral,HOLD,Price 3.1% below 50DMA indicating medium-term weakness; Monthly trend bearish suggesting longer-term pressure; Below-average volume (0.90x) showing reduced conviction,"Price above 20DMA (+0.76%) maintaining short-term support; RSI at 47 in neutral zone - not oversold, no panic selling; Recent 10-day momentum positive (+2.46%) showing resilience",,50.0,1,25,Technical-only assessment (no recent news),"HOLD decision based on technical-only analysis showing mixed signals but no critical breakdown. Price holding above 20DMA with positive short-term momentum offsets the 50DMA weakness. Absence of negative news/fundamental deterioration means the 3.1% gap to 50DMA represents normal retracement, not structural damage. No urgent exit warranted.",0.0,1813.0,close< 1772.04 (swing_low - 1.0*ATR),61.00 (1.5×ATR),20DMA
17,SAGILITY,SAGILITY,27.0,neutral,HOLD,RSI approaching overbought at 69.93 - potential pullback zone; Near 20-day high (3.83% below) - limited upside room short-term; Bollinger Band position at 1.66 sigma suggests stretched valuation,"Price trading above both 20DMA and 50DMA with healthy margin; Consistent uptrend across daily, weekly, and monthly timeframes; No technical support breaks or bearish reversal patterns",Technical overextension - RSI near 70 increases pullback probability; Bollinger Band stretch (1.66z) suggests mean reversion risk; Absence of news creates uncertainty about momentum sustainability; Limited information on fundamental catalysts to justify continued rally,75.0,1,25,Technical-only assessment (no recent news),"HOLD position with cautious monitoring. Technical indicators show strong uptrend momentum across all timeframes with no breakdown signals, but RSI near overbought and extended Bollinger Band position warrant vigilance. Absence of negative news is positive, but lack of positive catalysts suggests implementing trailing stop-loss to protect gains.",0.0,48.0,close< 41.86 (swing_low - 1.0*ATR),3.49 (1.5×ATR),20DMA
18,CAPACITE,CAPACITE,27.0,neutral,HOLD,Price marginally below 50DMA (-1.1%) indicating short-term weakness; Volume below average (78% of 20-day average) suggesting reduced conviction; Monthly trend down despite recent 10-day momentum recovery,"Strong 10-day momentum (+4.98%) at 20-day price high; Price above 20DMA with RSI 55.8 showing no oversold conditions; No negative news, fundamental deterioration, or technical breakdown","Conflicting timeframe signals (weekly up, monthly down) require monitoring; Below-average volume could lead to volatility if sellers emerge; Minor resistance at 50DMA level may cap immediate upside",72.0,1,25,Technical-only assessment (no recent news),"HOLD position with confidence. Stock shows technical resilience with price above 20DMA, positive momentum, and RSI in neutral-bullish zone. No fundamental or sentiment risks identified. The 1.1% distance below 50DMA is minor and not actionable given strong recent momentum and absence of negative catalysts. Monitor for 50DMA reclaim as confirmation signal.",267.85,268.75,close< 263.50 (swing_low - 1.0*ATR),11.26 (1.5×ATR),20DMA
19,DATAPATTNS,DATAPATTNS,27.0,neutral,HOLD,"Price marginally below 20DMA (-0.92%), showing minor weakness; Volume contraction (39% of average) indicates low conviction; Recent 10-day momentum negative at -1.1%","Price trading 2.3% above 50DMA - medium-term trend intact; RSI at 53.6 in neutral zone - no oversold or overbought extreme; Price near middle of Bollinger Bands (z-score -0.60), not at danger zone",,50.0,1,25,Technical-only assessment (no recent news),"Technical picture shows MILD CONSOLIDATION, not breakdown. Price holding above key 50DMA support with neutral RSI and contained volatility. Low volume is watch point but no critical support breaks or panic signals present. In absence of fundamental/sentiment catalysts, this is normal pullback within uptrend. HOLD recommended with defined stop-loss.",2620.0,2683.0,close< 2624.79 (swing_low - 1.0*ATR),108.61 (1.5×ATR),20DMA
20,ALPA,ALPA,17.6,neutral,HOLD,Price slightly below 50DMA (-2.16%) indicating minor intermediate weakness; Volume below average (0.98x) showing reduced participation,"Price above 20DMA (+0.98%) maintaining short-term support; RSI neutral at 55.9 - no oversold or breakdown signal; Strong recent momentum: +4.11% over 10 days, uptrends on weekly and monthly timeframes",,50.0,1,15,Technical-only assessment (no recent news),"HOLD position with high confidence. Technical structure remains intact with price above 20DMA, neutral RSI, and strong recent momentum (+4.11% 10-day). The -2.16% distance from 50DMA is minor and not a breakdown signal. No news means no fundamental or sentiment risks. This is normal consolidation, not deterioration requiring exit.",0.0,86.27,close< 84.72 (swing_low - 1.0*ATR),3.08 (1.5×ATR),20DMA
21,HUDCO,HUDCO,17.6,bullish,HOLD,,"Bullish technical alignment: price > 20DMA > 50DMA with upward momentum; Healthy RSI (58.88) in bullish zone without overextension; Recent trend positive across all timeframes (10D, weekly, monthly)","Bollinger Band position at 1.65 sigma suggests limited upside room in near-term, potential mean reversion risk; ATR at 2.34% indicates moderate volatility, possible consolidation or pullback to 20DMA support zone around ₹230",72.0,1,15,Technical-only assessment (no recent news),"HOLD position with strong technical structure intact. All moving averages aligned bullishly, momentum positive, and no breakdown signals present. Price consolidating near recent highs after sustained uptrend. No fundamental or sentiment risks identified in absence of negative news. Consider trailing stop-loss at 20DMA breach.",0.0,229.0,close< 219.00 (swing_low - 1.0*ATR),8.34 (1.5×ATR),20DMA
22,PETRONET,PETRONET,17.0,bullish,HOLD,,"Price trading above both 20DMA (+1.52%) and 50DMA (+2.68%) showing intact uptrend; Neutral RSI at 55.86 with room for upside, no overbought/oversold extremes; Positive momentum: +2.17% over 10 days, weekly and monthly trends both up",,78.0,1,15,Technical-only assessment (no recent news),"PETRONET shows strong technical health with price above key moving averages, positive multi-timeframe momentum, and no breakdown signals. Absence of negative news combined with constructive chart structure warrants HOLD. No urgent exit catalysts present.",0.0,275.02,close< 270.93 (swing_low - 1.0*ATR),7.00 (1.5×ATR),20DMA
23,IDBI,IDBI,17.0,bullish,HOLD,Recent down trend despite overall positive momentum; Near upper Bollinger Band (BB position z=1.58) suggests potential short-term pullback risk; Volume slightly below average (0.97x) on recent moves,"Strong price momentum (+7.9% 10-day, +6.7% vs 20DMA); Bullish technical structure (above SMAs, healthy RSI); Weekly and monthly uptrends intact",ATR at 3.6% suggests moderate volatility requiring 4-5% stop loss buffer; BB position near upper band (z=1.58) may lead to mean reversion toward 95-93 SMA zone; Absence of news creates information vacuum - position vulnerable to unexpected negative catalysts,75.0,1,15,Technical-only assessment (no recent news),"HOLD position with confidence. Technical structure remains constructive with price above key moving averages, positive momentum, and healthy RSI. No fundamental deterioration or negative sentiment detected. Recent 'down' classification appears to be minor consolidation within intact uptrend given strong weekly/monthly trends and proximity to 20-day high.",0.0,95.42,close< 87.64 (swing_low - 1.0*ATR),5.41 (1.5×ATR),20DMA
24,NBCC,NBCC,17.0,bullish,HOLD,,"Price 4.1% above 20DMA and 8.1% above 50DMA - bullish alignment; RSI at 59.96 in neutral-to-bullish zone, not overbought; Recent trend up with +3.7% 10-day momentum",Below-average volume (73% of 20-day avg) suggests weak conviction in current rally; Price at upper Bollinger Band (z-score 1.93) indicates potential overbought condition and near-term resistance; ATR 2.46% shows moderate volatility - expect ±2.9 point daily swings,78.0,1,15,Technical-only assessment (no recent news),"HOLD position with confidence. NBCC shows strong technical health with price trending above all key moving averages, positive momentum across multiple timeframes, and no fundamental or sentiment deterioration. The current uptrend appears intact despite below-average volume. Primary risk is near-term overbought condition at upper BB band, but this is normal profit-taking territory, not an exit signal. Monitor for volume confirmation of continued uptrend.",0.0,112.93,close< 106.95 (swing_low - 1.0*ATR),4.33 (1.5×ATR),20DMA
25,RBLBANK,RBLBANK,17.0,bullish,HOLD,,"Strong uptrend: price 7.1% above 20DMA and 16% above 50DMA; Healthy momentum: 10-day momentum positive, weekly and monthly trends up; Price at 20-day high with RSI showing strength",,50.0,1,15,Technical-only assessment (no recent news),"RBLBANK shows strong bullish technical setup with no breakdown signals. Price is well above both moving averages in confirmed uptrend with positive momentum across all timeframes. While RSI overbought and low volume present minor concerns for timing, there are zero fundamental or sentiment red flags. No exit warranted - this is normal consolidation risk in an uptrend.",0.0,302.0,close< 262.92 (swing_low - 1.0*ATR),15.94 (1.5×ATR),20DMA
