rank,ticker,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
11,TITAN,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,"Titan shares jump 2% to new 52-week high following UBS upgrade, target price hike ",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
12,PREMIER,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Syrma SGS and Premier Energies to acquire solar inverter manufacturer KSolare Energy,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
13,SECL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Coal India arm SECL's 12 mining projects running behind schedule,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
14,SHAH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Amit Shah inaugurates ₹325 crore MLA housing complex in Gandhinagar,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
15,SOUTHWEST,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,US-based Southwest Airlines to set up global innovation centre in Hyderabad,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
16,TAC,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"TAC Infosec partners with Binance, lists Socify on AWS Marketplace",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
17,FOCUS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,PrimaLend’s Bankruptcy Renews Focus on Subprime Consumer Strain,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
18,HYUNDAI,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Who is Sunil Moolchandani? Hyundai Motor India’s new national sales head,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
19,JUNIPER,95.0,bullish,STRONG BUY,"earnings, M&A, investment, expansion, contract",,95,1,N/A,"Juniper Green Energy commissions 64 MW RE capacity in Gujarat, Maharashtra",Detected 5 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
20,ACC,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Who is Karthik Narain? Former Accenture CTO welcomed by Sundar Pichai after taking top role at Googl,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
21,BSL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Young professionals lag in term insurance adoption despite cost advantages: ABSLI,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
22,CCL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,SCCL to tap rare earth minerals opportunity,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
23,CRISIL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,High US tariffs to cut Indian leather industry revenue by 10-12% this fiscal: Crisil,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
24,EDELWEISS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"FYERS becomes first platform to offer SIF to retail investors; will integrate, Quant, Edelweiss, SBI",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
25,KPIL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"KPIL secures orders worth ₹2,332 crore",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
26,LTTS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"LTTS reports steady profit growth, record TCV, and upbeat guidance for H2",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
27,MAHESHWARI,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,PSU banks set for more upside as institutional flows shift from private lenders: Nischal Maheshwari ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
28,MIDCAP,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Midcaps take the lead as Nifty nears record high; Rahul Sharma sees sector rotation ahead ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
29,POONAWALLA,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Broker’s call: Poonawalla Fincorp (Buy),Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
30,PREMIUM,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Premium products now contribute 15 per cent to overall FMCG industry,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
31,RAYMOND,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Raymond Jamess quarterly profit rises on capital markets strength,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
32,RITES,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Meet most followed entrepreneurs on LinkedIn in Avendus-Hurun India U35 List: Ritesh Agarwal, Alakh ",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
33,SCI,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Scientists urge Govt to ensure Global South gets its profit share for genetic resources,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
34,SERVICE,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Southern Command gears up for Tri-Services Exercise ‘Ex Trishul’,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
35,SIL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Silver in bear market grip already, but only if you are invested in ETFs. Time to sell? ",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
36,SILVER,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Silver in bear market grip already, but only if you are invested in ETFs. Time to sell? ",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
37,SYRMA,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Syrma SGS and Premier Energies to acquire solar inverter manufacturer KSolare Energy,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
38,VIJAYA,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Second Pinarayi Vijayan govt has spent ₹43,653cr on welfare pensions: Minister Balagopal",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
39,WEALTH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Wealth Company MF mops-up ₹2,000 cr via 4 debut NFOs",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
40,ADANIPORTS,95.0,neutral,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Top gainers & losers today, 23 October: Infosys, HCL Tech, TCS lead gains; Adani Ports, UltraTech Ce",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. NEUTRAL sentiment.
41,CIPLA,95.0,neutral,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Cipla to market Eli Lilly’s weight loss and diabetes drug Mounjaro in India, under a different brand",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. NEUTRAL sentiment.
42,DIXON,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Dixon Technologies shares crack 7% in 4 sessions despite strong Q2. What should investors do? ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
43,HAL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Half of India’s cars could be clean by 2030—but EVs are just part of the plan,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
44,IDEA,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Vodafone Idea shares surge over 10% in 3 days. What's driving the rally? ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
45,LT,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"LTTS reports steady profit growth, record TCV, and upbeat guidance for H2",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
46,MARUTI,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Maruti Suzuki's 'Jimny 5-door' crosses 1 lakh units exports milestone,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
47,OIL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Oil prices surge 5% as Trump hits Russian crude with sanctions ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
48,SIEMENS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"From tracks to tech: Siemens India stakes claim in manufacturing, mobility",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
49,TCS,95.0,neutral,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Top gainers & losers today, 23 October: Infosys, HCL Tech, TCS lead gains; Adani Ports, UltraTech Ce",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. NEUTRAL sentiment.
