rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
11,HUDCO,HUDCO,43.3,neutral,HOLD,,,,30.0,7,54.95868366325451,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPSC13a0RWZjVTOFJMTUViYklNd0d2NmR2czR3RTJZUEhkLTdFV2JPVzYyN2pXVXphRXZqTlBXa1VTNVBJb1VVZXlJUUJSNUFJeGhEV1dGUzc1ODRLOGdrVk1laXluenBVOThTWG5sUFh4VTlkSGowTS1Ra0EyNTZ5dkQ5cFRXZ0hpaDNnaW1ZOVlLU1NYc1RJbHlDTURhTmxaUU01MXNTVk54X0d1VlVNWGpRc1FMS1ZhRTE2OFAtWWV1YzZqOGpZMDJCbkV2MUIyYWpldFBRaVV4SnpWVTc1cWcxV3lvYS1aYnF6d0Fxc9IB9AFBVV95cUxPcDc5R3pubGNoSnZmbWpUR2J2SWd2S1ExeGRjSWFoOUVrN2dGSG1Ud0dOTksxbEhJZGkzbUVmaFNxcnRKdEk4VnQtZ1JtV1ZNZzRRTUJxUVBCQ2tHUUFvNDQzejdKT3dJcEx0S2xQUG5JVXdQVUxiblBtRHJFZElkSjRqWW0zNngyck9VRUprN1NxWVZwb29KVTZDaU5aUU5wYjgtb0JYUGpRQlJpU1htaUhsOTRYUzE4ZTl2NjlYa1NNZDBwZTVPS3NFRnFTaU1ELUx2ZnlNQ3BHS0NCOXhpbDMwcTE0SnpLYkJBMlBRa3RVUl80?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 219.09 (swing_low - 1.0*ATR),8.20 (1.5×ATR),20DMA
12,IDBI,IDBI,43.3,neutral,HOLD,,,,30.0,7,69.93060900721146,https://news.google.com/rss/articles/CBMitgFBVV95cUxOYmFrY2w5ejBfOGltbjZkNVI4ekRxT1JlSHNOX1pQamUxMzlEUjFDaDRLRkJmWDdvVlV1M1FDNXowNGVCQWhTSFp4WEN1VFVzcldscS1ENzRaYjE3NjR4VzBtWVRVbGFxUE1LUjUxUEdWeUdyb09WandLT2MtNjVJSnRZN21DNW9ISmdKMDVid0FGdEI4aGl1TU9GWW9lZlEwemsxX0dGcjVsdlF4eFEyYnhSdl9FUQ?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 87.77 (swing_low - 1.0*ATR),5.22 (1.5×ATR),20DMA
13,MGL,MGL,43.3,neutral,HOLD,,,,30.0,1,43.26346566768696,https://news.google.com/rss/articles/CBMivAFBVV95cUxPOXRYNzNHeFpjeUE0NHNmLUtxbEhQOVJXYWxrSTkyU21wZWt6d3hHTXlIekV3WVg4dUtSVDZWNE9HX3c4akxYaVVKV0lUQTJKYXpsQWZmRTMzQUQ3aWFYbldMT0pKdVlwTlNJSy1CR1R2akg0dG9tVVdiUlhJcE80ekFXMUh2MWNLWTh6RngwR2N6akpDcFF3R3FqRDM3dzg4UG0zamdDMzZsWndhSVNtd2h6Q1dFTlNCYnQ2bg?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 1249.11 (swing_low - 1.0*ATR),33.89 (1.5×ATR),20DMA
14,NBCC,NBCC,43.3,neutral,HOLD,,,,30.0,1,60.68375540372279,https://news.google.com/rss/articles/CBMimwJBVV95cUxPdU44ZFVRX3cweUlWZThsZDdBV0wxbzF6SWdnY0VXbjdHbFd6dzVnQU51RWlJUi0xWVEzLTJoRVMwZEdXN180VnVlSEFNSnFnNUlPSGM1NjZZeGpvNlNYOGRDRUZpSzRldkp3ZUlFZk9yOEZnVjJESkt5dlVXZmdtdW5hb19VdGs2SlhpMXRYRW5Cd2FQaTBwUUpTWU9ENDNMdm9UN2pUVmpDbEVXSDN4c0lhVEM1MWVoc2ZlOFdYY0RJVWU3UlgxdmVQamFJUGUzcXFJNFY4dmZJOEhqa1owdTBUZ05LODhCSGhVWGd4dHI2OWFjZ3lqUENRd01RVWRXZnp4cjJHZGl5OGJNeUQzTlA5N0xRNWFBNk5B0gGgAkFVX3lxTE1kYXRHWE9VSVV6WEs3OHRzR050Yk1HX1BRd2ZlYjRrcUdmUUxXNGJxY1VkQ1ZJSDc4b0N3MDUzQzlMX3BCN2V5bDJrWUEyRjVrOEQwU2xhWGZmdjduaFZ1YzREY3ZaM01uUW94TVd2OERrNDVUdDZiU3o0cDQtdm9GOHNBNHlfVEdxUF9ZQVRMVWVaZ25EalQ0R1MtWTBJNVBFWGZfbGZVenozQ3h6SW0yWDAzaHlEU2hzd2hpQV9nZkpWY3F5WXlWb3daSTlKc2pSRk10aVBKM1lBaFNnd3pQQnpDM0psMTlPQktNTmlWSkpab05adXVXUm9lblRVTDZvSTdBNXo0WDhWdnJOWVR6SzZXVlJFUVgwd3lsZWs4aA?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 106.85 (swing_low - 1.0*ATR),4.48 (1.5×ATR),20DMA
15,GLENMARK,GLENMARK,43.3,neutral,HOLD,,,,30.0,2,38.71418800559542,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPRWNUbHV5NTV5VTE4dUVDOUVBY01IYzNSTVpQZkZONWlvMDdicjNGbnc1Qk5qdVV4N0dpMFRjeExYRlFocFo1UXNJU0J2QnZDbmVRNWdLaHdYd29tdE5TTmJiMWdDcENmaVRmTlp4UHU3aUR0V0tEVEZfY0VHUjVISGhyb29ZalozTVFicHVUckVRQWVfM2VkVk9mSVNtV0Nnb2FkRVNId3Vlc2hmVUxxWmVvSWJPN3NsQWt3Vi1hM3kzcWJNUkV0alNMVWEyRTJ2M0R1aDB5YUliZWdmYXhQeXpXMzBOWXBR0gHuAUFVX3lxTE43b2hqdlJZaGNyVjIxaC13WWZPcHBIMGJDQUk1VzZCZ1NaT0V0YWlEWk5VRllIWUd2UzRWdW1nb1kyTnJjUTNyV3E3aVduT3JaRVdoSVdFX3RpNmRVSVZ0RGRrdU50dmotcTFXemE1XzIxNU1vQ0w0Rld6eXhVcndlejFlN3lqZTBWdG83N25nazktRHFydGJaUXlGNDRfNjdFazFwTWZOelFUZGFscTYzY19yT3lCYnpYejg5UmhweGJ3Vkp5bTNlMnVuRUtfbnlTRGdEaHE5OU1NQkhUSFd3QmhHcWxoNm9QcUZfV0E?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 1771.01 (swing_low - 1.0*ATR),62.53 (1.5×ATR),20DMA
16,BHEL,BHEL,39.0,neutral,HOLD,,Strong upward technical trend; High momentum and volume; No negative news identified,Overbought RSI (73.64) may lead to a short-term price correction,33.0,10,73.64184352525766,https://news.google.com/rss/articles/CBMimwJBVV95cUxPdU44ZFVRX3cweUlWZThsZDdBV0wxbzF6SWdnY0VXbjdHbFd6dzVnQU51RWlJUi0xWVEzLTJoRVMwZEdXN180VnVlSEFNSnFnNUlPSGM1NjZZeGpvNlNYOGRDRUZpSzRldkp3ZUlFZk9yOEZnVjJESkt5dlVXZmdtdW5hb19VdGs2SlhpMXRYRW5Cd2FQaTBwUUpTWU9ENDNMdm9UN2pUVmpDbEVXSDN4c0lhVEM1MWVoc2ZlOFdYY0RJVWU3UlgxdmVQamFJUGUzcXFJNFY4dmZJOEhqa1owdTBUZ05LODhCSGhVWGd4dHI2OWFjZ3lqUENRd01RVWRXZnp4cjJHZGl5OGJNeUQzTlA5N0xRNWFBNk5B0gGgAkFVX3lxTE1kYXRHWE9VSVV6WEs3OHRzR050Yk1HX1BRd2ZlYjRrcUdmUUxXNGJxY1VkQ1ZJSDc4b0N3MDUzQzlMX3BCN2V5bDJrWUEyRjVrOEQwU2xhWGZmdjduaFZ1YzREY3ZaM01uUW94TVd2OERrNDVUdDZiU3o0cDQtdm9GOHNBNHlfVEdxUF9ZQVRMVWVaZ25EalQ0R1MtWTBJNVBFWGZfbGZVenozQ3h6SW0yWDAzaHlEU2hzd2hpQV9nZkpWY3F5WXlWb3daSTlKc2pSRk10aVBKM1lBaFNnd3pQQnpDM0psMTlPQktNTmlWSkpab05adXVXUm9lblRVTDZvSTdBNXo0WDhWdnJOWVR6SzZXVlJFUVgwd3lsZWs4aA?oc=5,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.,close< 224.73 (swing_low - 1.0*ATR),9.32 (1.5×ATR),20DMA
17,KEC,KEC,36.6,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band; Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,35,Technical-only assessment (no recent news),Tech-driven assessment: score=43; signals: RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support),close< 801.91 (swing_low - 1.0*ATR),23.76 (1.5×ATR),20DMA
18,DBCORP,DBCORP,34.4,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),No urgent exit signals,,50.0,1,33,Technical-only assessment (no recent news),Tech-driven assessment: score=40; signals: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),close< 227.37 (swing_low - 1.0*ATR),18.05 (1.5×ATR),20DMA
19,DEEPAKNTR,DEEPAKNTR,29.0,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,27,Technical-only assessment (no recent news),Tech-driven assessment: score=37; signals: RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move,close< 1703.29 (swing_low - 1.0*ATR),37.67 (1.5×ATR),20DMA
20,GATECHDVR,GATECHDVR,24.6,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,22,Technical-only assessment (no recent news),Tech-driven assessment: score=35; signals: Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price),close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
21,DATAPATTNS,DATAPATTNS,18.4,neutral,HOLD,Low volume on downtrend (weak support); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,15,Technical-only assessment (no recent news),Tech-driven assessment: score=32; signals: Low volume on downtrend (weak support); Daily and weekly trends aligned down,close< 2621.56 (swing_low - 1.0*ATR),113.46 (1.5×ATR),20DMA
22,AURIGROW,AURIGROW,9.4,neutral,HOLD,High short-term volatility (ATR 4.0% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 4.0% of price),,0.03 (1.5×ATR),
23,BANARBEADS,BANARBEADS,9.4,neutral,HOLD,High short-term volatility (ATR 5.8% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 5.8% of price),close< 131.98 (swing_low - 1.0*ATR),12.48 (1.5×ATR),20DMA
24,RBLBANK,RBLBANK,9.4,neutral,HOLD,High short-term volatility (ATR 3.3% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 3.3% of price),close< 262.74 (swing_low - 1.0*ATR),16.21 (1.5×ATR),20DMA
25,PETRONET,PETRONET,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,close< 271.01 (swing_low - 1.0*ATR),6.88 (1.5×ATR),20DMA
