rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
11,CAPACITE,CAPACITE,22.8,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,50.0,1,20,Technical-only assessment (no recent news),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish),,close< 263.61 (swing_low - 1.0*ATR),close< 263.61 (swing_low - 1.0*ATR),11.09 (1.5×ATR),20DMA
12,GLENMARK,GLENMARK,22.8,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,50.0,1,20,Technical-only assessment (no recent news),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish),,close< 1771.01 (swing_low - 1.0*ATR),close< 1771.01 (swing_low - 1.0*ATR),62.53 (1.5×ATR),20DMA
13,CIPLA,CIPLA,20.2,neutral,HOLD,Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,17,Technical-only assessment (no recent news),Tech-driven assessment: score=33; signals: Unusual volume spike on down move; Daily and weekly trends aligned down,,close< 1458.95 (swing_low - 1.0*ATR),close< 1458.95 (swing_low - 1.0*ATR),53.48 (1.5×ATR),20DMA
14,DATAPATTNS,DATAPATTNS,18.4,neutral,HOLD,Low volume on downtrend (weak support); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,15,Technical-only assessment (no recent news),Tech-driven assessment: score=32; signals: Low volume on downtrend (weak support); Daily and weekly trends aligned down,,close< 2621.56 (swing_low - 1.0*ATR),close< 2621.56 (swing_low - 1.0*ATR),113.46 (1.5×ATR),20DMA
15,MGL,MGL,11.2,neutral,HOLD,Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,7,Technical-only assessment (no recent news),Tech-driven assessment: score=28; signals: Daily and weekly trends aligned down,,close< 1249.11 (swing_low - 1.0*ATR),close< 1249.11 (swing_low - 1.0*ATR),33.89 (1.5×ATR),20DMA
16,AURIGROW,AURIGROW,9.4,neutral,HOLD,High short-term volatility (ATR 4.0% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 4.0% of price),,,,0.03 (1.5×ATR),
17,SAGILITY,SAGILITY,9.4,neutral,HOLD,High short-term volatility (ATR 4.3% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 4.3% of price),,close< 41.17 (swing_low - 1.0*ATR),close< 41.17 (swing_low - 1.0*ATR),3.40 (1.5×ATR),20DMA
18,BANARBEADS,BANARBEADS,9.4,neutral,HOLD,High short-term volatility (ATR 5.8% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 5.8% of price),,close< 131.98 (swing_low - 1.0*ATR),close< 131.98 (swing_low - 1.0*ATR),12.48 (1.5×ATR),20DMA
19,IDBI,IDBI,9.4,neutral,HOLD,High short-term volatility (ATR 3.4% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 3.4% of price),,close< 87.77 (swing_low - 1.0*ATR),close< 87.77 (swing_low - 1.0*ATR),5.22 (1.5×ATR),20DMA
20,RBLBANK,RBLBANK,9.4,neutral,HOLD,High short-term volatility (ATR 3.3% of price),No urgent exit signals,,50.0,1,5,Technical-only assessment (no recent news),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 3.3% of price),,close< 262.74 (swing_low - 1.0*ATR),close< 262.74 (swing_low - 1.0*ATR),16.21 (1.5×ATR),20DMA
21,PETRONET,PETRONET,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,,close< 271.01 (swing_low - 1.0*ATR),close< 271.01 (swing_low - 1.0*ATR),6.88 (1.5×ATR),20DMA
22,UPL,UPL,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,,close< 655.90 (swing_low - 1.0*ATR),close< 655.90 (swing_low - 1.0*ATR),21.07 (1.5×ATR),20DMA
23,BHEL,BHEL,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,,close< 224.73 (swing_low - 1.0*ATR),close< 224.73 (swing_low - 1.0*ATR),9.32 (1.5×ATR),20DMA
24,HUDCO,HUDCO,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,,close< 219.09 (swing_low - 1.0*ATR),close< 219.09 (swing_low - 1.0*ATR),8.20 (1.5×ATR),20DMA
25,NBCC,NBCC,5.0,neutral,HOLD,No significant technical exit signals,No urgent exit signals,,50.0,1,0,Technical-only assessment (no recent news),Tech-driven assessment: score=25; signals: No significant technical exit signals,,close< 106.85 (swing_low - 1.0*ATR),close< 106.85 (swing_low - 1.0*ATR),4.48 (1.5×ATR),20DMA
