rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
11,CROMPTON,CROMPTON,69.2,neutral,MONITOR,"Price trading 7.2% below 50DMA with established downtrend; Death cross forming: 20DMA (288.09) approaching 50DMA (304.77); Negative momentum across all timeframes: 10D (-1.67%), weekly down, monthly down; Price near lower Bollinger Band (Z-score -1.50) with sustained weakness; Volume spike (1.46x average) on down move confirming distribution","RSI at 43.02 not oversold - room for further decline before capitulation; No fundamental red flags visible (no earnings warnings, regulatory issues, or debt concerns); Price only 0.93% above 20-day low - already absorbed significant damage",Impending death cross could trigger systematic selling and momentum breakdown; 7%+ divergence from 50DMA indicates loss of medium-term support structure; Volume confirmation on down move (4.58M vs 3.13M avg) suggests institutional distribution; Downtrend across weekly/monthly timeframes indicates sustained selling pressure; Opportunity cost: capital deployed in weakening asset while market has alternatives,75.0,1,68,Technical-only assessment (no recent news),"CROMPTON exhibits concerning technical deterioration with price 7.2% below 50DMA, impending death cross, and volume-confirmed downtrend across all timeframes. However, absence of fundamental news and non-oversold RSI suggest this is technical weakness rather than business deterioration. MONITOR closely with 5-7% trailing stop-loss; consider partial exit to reduce exposure while awaiting stabilization signals or fundamental catalysts.",close< 274.38 (swing_low - 1.0*ATR),8.58 (1.5×ATR),20DMA
12,EASEMYTRIP,EASEMYTRIP,69.2,neutral,MONITOR,Price trading below both 20DMA (-0.75%) and 50DMA (-4.84%) indicating sustained downtrend; Negative 10-day momentum (-0.38%) with confirmed weekly and monthly downtrends; Below-average volume (0.97x) during decline suggests lack of buying interest at current levels; Bollinger Band position (z-score -0.80) near lower band indicates oversold conditions without reversal signals; Price near 20-day low (only 1.15% above) with limited cushion before support break,RSI at 44.76 not yet oversold territory - some technical cushion remains before panic selling zone; No catastrophic news or fundamental deterioration signals present in available data; Low ATR (1.93%) suggests range-bound environment rather than capitulation breakdown,Persistent triple-timeframe downtrend (10D/weekly/monthly) indicates selling pressure overwhelming buyers; Death cross imminent if 20DMA continues declining toward 50DMA - would trigger algorithmic selling; Volume declining during downmove suggests institutional distribution rather than capitulation wash-out; No positive catalyst visible with zero recent news - momentum traders likely to continue exit; Opportunity cost high - capital trapped in declining asset while market may offer better risk/reward elsewhere,75.0,1,68,Technical-only assessment (no recent news),"MONITOR with tight stop-loss. Stock exhibits concerning technical deterioration with triple-timeframe downtrend, declining momentum, and price below key moving averages. However, absence of fundamental news and non-extreme RSI prevent immediate exit call. Set stop-loss at 7.75 (2.5% below current) and reassess if 20DMA/50DMA death cross forms or volume spikes on further decline. Consider partial exit to redeploy capital into stronger momentum opportunities.",close< 7.70 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
13,GATECHDVR,GATECHDVR,67.1,neutral,MONITOR,Price trading below both 20DMA (-2.7%) and 50DMA (-3.6%) indicating weakening trend; Recent 10-day momentum down -3.7% with bearish recent trend confirmation; Bollinger Band position at -0.73 (lower third) with high ATR of 5.6% suggesting continued volatility; Weekly trend DOWN despite monthly UP - conflicting timeframes indicate indecision; Volume spike (1.95x average) on down move suggests distribution/selling pressure,"Price only 1.96% above 20-day low - already significantly sold off, limited downside near-term; RSI at 42.86 approaching oversold territory without extreme weakness - potential stabilization zone; No catastrophic news, regulatory issues, or fundamental deterioration visible",Continued breakdown below 50DMA could trigger death cross if 20DMA crosses below; High ATR (5.6%) indicates elevated volatility risk with potential for sharp moves; No news/catalysts visible - stock drifting lower without support from fundamentals; Volume concentration on down days suggests sellers more aggressive than buyers; Opportunity cost - capital locked in declining asset during potential market opportunities elsewhere,68.0,1,65,Technical-only assessment (no recent news),"GATECHDVR shows concerning technical deterioration with price below key moving averages, negative momentum, and elevated volume on down moves. However, proximity to recent lows and approaching oversold RSI suggest positioning for bounce. MONITOR closely with 5-7% trailing stop-loss - exit if breaks below 20-day low (₹0.51) or if fundamental news emerges negative. Consider partial position reduction to free capital for better opportunities.",close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
14,RBLBANK,RBLBANK,67.1,neutral,MONITOR,RSI overbought at 72.6 indicating extreme short-term extension; Price at 20-day high with volume declining 47% below average - lacks conviction; Banking sector facing RBI tightening cycle and asset quality pressures in mid-tier private banks; Near Bollinger Band upper limit (Z=1.15) suggesting reversion risk,"Strong uptrend intact: price 15.7% above 50DMA and 7.3% above 20DMA with both moving averages in upward alignment; No confirmed technical breakdown - all support levels holding with recent trend strongly up across 10d/weekly/monthly timeframes; Absence of negative news or fundamental deterioration signals - no earnings warnings, regulatory issues, or management scandals detected",Overbought RSI + declining volume = classic distribution pattern risk; RBL Bank historically volatile due to asset quality concerns - susceptible to sudden sentiment shifts; Mid-tier private bank sector facing margin compression from rate competition; Momentum exhaustion risk - 9% gain in 10 days may not sustain without fresh catalysts,75.0,1,65,Technical-only assessment (no recent news),"MONITOR with tight stop-loss. Strong technical uptrend remains intact, but overbought RSI combined with 47% volume decline suggests weakening conviction at highs. Absence of negative news is positive, but banking sector headwinds and technical exhaustion warrant close observation. Consider booking partial profits and tightening stop-loss to protect gains.",close< 262.74 (swing_low - 1.0*ATR),16.21 (1.5×ATR),20DMA
15,GLENMARK,GLENMARK,67.1,neutral,MONITOR,"Price trading 3.5% below 50DMA indicating weakening medium-term trend; RSI at 38.7 showing oversold conditions with recent downward momentum; Below-average volume (0.70x) on recent moves suggests weak conviction; Weekly and monthly trends both DOWN confirming deteriorating structure; Price compressed in narrow range (4.3% from 20D low, 4.5% from 20D high) suggesting potential breakdown",Price still above 20DMA (+0.16%) - key short-term support intact; Recent 10-day momentum positive (+1.57%) showing short-term resilience; No critical news indicating fundamental deterioration or regulatory issues,Death cross forming: 20DMA approaching 50DMA from above (bearish setup); Low volume environment (30% below average) makes it vulnerable to sharp moves; Pharma sector concentration risk without sector-specific news confirmation; RSI below 40 with weekly/monthly downtrends = likely further downside; No news buffer means any negative surprise could trigger breakdown,68.0,1,65,Technical-only assessment (no recent news),"MONITOR closely with 3-5% stop loss. Technical structure deteriorating with price below 50DMA, RSI oversold, and multi-timeframe downtrends. However, 20DMA support holding and no fundamental red flags warrant monitoring before exit. If price breaks below ₹1,850 (20DMA) on volume, exit immediately. Consider partial exit (30-50%) to reduce risk while awaiting clarity.",close< 1771.01 (swing_low - 1.0*ATR),62.53 (1.5×ATR),20DMA
16,SAGILITY,SAGILITY,53.1,neutral,MONITOR,RSI 69.66 approaching overbought with 3.28x volume spike - potential exhaustion signal; Price trading at Bollinger Band upper limit (z-score 1.91) - overextended rally risk; Zero fundamental visibility - no news/earnings data to justify 16.4% 10-day momentum; High ATR 4.32% indicates elevated volatility - unstable price action; Opportunity cost concern - strong technical rally without fundamental catalyst confirmation,Price sustaining above both SMA20 (+12.1%) and SMA50 (+15.7%) - uptrend structurally intact; Weekly and monthly trends both 'up' - multi-timeframe alignment supports continuation; No confirmed bearish technical breakdown - still 3.74% from 20-day high,Momentum chase risk - buying at rally peak without fundamental anchor; Volume spike (3.28x) on strong up move often precedes reversal - 'blow-off top' pattern; Information asymmetry - complete lack of news creates uncertainty about sustainability; Mean reversion risk - 16%+ move in 10 days statistically prone to pullback; RSI nearing 70 threshold - historically marks short-term tops in strong moves,68.0,1,45,Technical-only assessment (no recent news),"MONITOR with tight stop-loss. Technical strength is clear (multi-timeframe uptrend, above key SMAs), but the rally lacks fundamental confirmation and shows exhaustion signals (RSI 69.66, BB upper limit, volume spike). The complete absence of news during a 16% 10-day surge raises sustainability concerns. Consider taking partial profits and tightening stop-loss to lock gains while monitoring for either fundamental catalyst confirmation or technical breakdown.",close< 41.17 (swing_low - 1.0*ATR),3.40 (1.5×ATR),20DMA
17,MGL,MGL,44.1,neutral,HOLD,Price trading below both 20DMA (-1.14%) and 50DMA (-1.37%) indicating short-term weakness; RSI at 43.26 showing bearish momentum with downward 10-day trend (-0.42%); Recent trend is down with weekly trend also negative suggesting near-term pressure,"Technical weakness is MILD - price only 1-1.4% below moving averages, not a major breakdown; RSI at 43 is neutral zone, not oversold - no panic selling or capitulation; Price near lower Bollinger Band (Z-score: -1.24) suggests potential bounce zone rather than collapse","Continued weakness below moving averages could lead to death cross if 20DMA crosses below 50DMA; Absence of news means no positive catalysts to reverse current downtrend; RSI trending toward oversold without bounce attempt could signal deeper correction; If price breaks below ₹1,268 (lower BB), could trigger stop-loss selling",68.0,1,45,Technical-only assessment (no recent news),"HOLD position. Technical weakness is minor and within normal correction parameters - only 1-1.4% below key averages with no panic selling evident. No fundamental deterioration or negative news to justify exit. Price near lower Bollinger Band suggests oversold conditions favor mean reversion over continued decline. Monthly uptrend intact. Stop only if breaks ₹1,268 decisively.",close< 1249.11 (swing_low - 1.0*ATR),33.89 (1.5×ATR),20DMA
18,DATAPATTNS,DATAPATTNS,40.8,neutral,HOLD,"Price below 20DMA by 1.34% with weak volume (0.44x average); Recent downtrend: -2.24% momentum over 10 days; Bollinger Band position at -0.84 (lower half, mild weakness)","Price still 2.2% above 50DMA - primary uptrend intact; RSI at 44.5 in neutral zone, not oversold, no panic selling; Near 20-day low (1.74% above) but within normal volatility range (ATR 2.76%)",Continued weakness below 20DMA could test 50DMA support at ₹2685; Low trading volume may signal waning interest or participation; Short-term downtrend needs reversal confirmation to re-establish bullish momentum; Absence of positive catalysts in current news window creates uncertainty,72.0,1,42,Technical-only assessment (no recent news),"HOLD position - this appears to be normal profit-taking or consolidation rather than structural breakdown. Price remains above critical 50DMA support with monthly trend intact, RSI neutral (not oversold), and critically, the low volume selloff lacks conviction. The 1.34% deviation from 20DMA is minor and within 1-ATR normal volatility. No fundamental deterioration signals present. Monitor ₹2685 (50DMA) as key support level.",close< 2621.56 (swing_low - 1.0*ATR),113.46 (1.5×ATR),20DMA
19,ALPA,ALPA,30.1,neutral,HOLD,Price below 50DMA (-1.01%) indicating weakness vs medium-term trend; Low volume (48% of avg) suggesting weak conviction in recent rally; Weekly and monthly trends both down showing broader deterioration,Price above 20DMA (+2.45%) with neutral RSI (49.8) - no technical breakdown; Recent 10-day momentum positive (+3.81%) with uptrend intact; Trading near 20-day high (only -0.48% away) - no critical support breaks,Persistent low volume could indicate distribution phase; Longer timeframe trends (weekly/monthly down) may reassert pressure; No news available - fundamentals uncertainty increases holding risk; Price wedged between 20DMA and 50DMA - direction unclear,72.0,1,28,Technical-only assessment (no recent news),"HOLD with tight monitoring. Technical structure intact on short-term (above 20DMA, positive 10d momentum, near highs) but volume weakness and negative longer-term trends warrant caution. No immediate breakdown signals justify exit, but lack of fundamental news and low conviction volume suggest reducing position on any rally to resistance. Set alerts at 50DMA (₹92.51) for reassessment.",close< 84.45 (swing_low - 1.0*ATR),3.48 (1.5×ATR),20DMA
20,BANARBEADS,BANARBEADS,28.0,neutral,HOLD,Price marginally below 20DMA (-1.86%) indicating short-term weakness; Recent 10-day momentum slightly negative (-0.05%); No fundamental news visibility - unable to assess business health,Strong position above 50DMA (+14.54%) confirms intact medium-term uptrend; RSI neutral at 50.79 - no overbought/oversold extremes; Weekly and monthly trends both UP - broader trend remains positive,Lack of fundamental visibility - no recent earnings/news to validate business momentum; Minor short-term pullback from 20DMA could extend if support breaks; Opportunity cost - capital allocation unclear without positive catalysts; Illiquid stock (avg volume 48.6K) - exit execution risk if sentiment turns,72.0,1,25,Technical-only assessment (no recent news),"HOLD with cautious monitoring. Technical structure remains constructive with price well above 50DMA and broader trends positive, but lack of fundamental news creates information gap. Current pullback appears normal consolidation rather than breakdown. Set tight stop-loss and reassess if business updates emerge or 50DMA support threatened.",close< 131.98 (swing_low - 1.0*ATR),12.48 (1.5×ATR),20DMA
21,CAPACITE,CAPACITE,28.0,neutral,HOLD,"Price trading below 50DMA (-1.42%), minor technical weakness; No recent news available for fundamental assessment; Moderate volume spike (1.33x) without clear directional conviction","Price comfortably above 20DMA (+3.07%), short-term uptrend intact; RSI neutral at 50.4 - no overbought/oversold extremes; Strong recent momentum: +5.44% over 10 days, both weekly and monthly trends up",Limited data availability prevents full fundamental analysis; Minor gap between current price and 50DMA could widen if momentum reverses; Volume increase without news catalyst may indicate institutional repositioning; ATR at 2.58% suggests moderate volatility - position sizing appropriate,65.0,1,25,Technical-only assessment (no recent news),"HOLD position with confidence. Technical picture shows constructive setup: price above rising 20DMA, neutral RSI, positive momentum across multiple timeframes, and trading near recent highs. The 50DMA underperformance is minimal (-1.42%) and not actionable. Absence of news creates uncertainty but reveals no actual deterioration. No exit signals meet urgency thresholds.",close< 263.61 (swing_low - 1.0*ATR),11.09 (1.5×ATR),20DMA
22,DBCORP,DBCORP,18.9,neutral,HOLD,Volume significantly below average (74% reduction) - potential liquidity concern; No recent news or catalysts in 48h window - limited visibility into fundamentals; Price consolidating near 20-day highs after 10% momentum run - potential exhaustion,Price trading above both SMA20 (+3.1%) and SMA50 (+0.3%) - uptrend intact; Neutral RSI at 50.3 - no overbought or oversold extremes; Weekly and monthly trends both positive - broader momentum supportive,"Extremely low volume (26% of 20-day average) raises questions about conviction in current price; No fundamental news available to validate recent 10% momentum surge; Limited data environment increases uncertainty - unable to assess earnings, debt, or management quality; Recent downtrend flagged despite positive longer-term trends - potential short-term weakness",72.0,1,15,Technical-only assessment (no recent news),"HOLD with cautious monitoring. Technical structure remains intact with price above key moving averages and no breakdown signals. However, severely depressed volume (74% below normal) and lack of fundamental catalysts create uncertainty. The 10% recent momentum gain lacks news validation, suggesting either insider accumulation or technical bounce. Without evidence of fundamental deterioration or technical support breaks, premature exit would forfeit position during intact uptrend. Monitor closely for volume confirmation or news emergence.",close< 227.37 (swing_low - 1.0*ATR),18.05 (1.5×ATR),20DMA
23,NBCC,NBCC,18.9,neutral,HOLD,Bollinger Band extreme position (z-score 2.16) suggests overbought conditions; Limited upside remaining - only 0.81% from 20-day high; No fundamental catalyst visible to justify current momentum,Strong technical setup: Price above both 20DMA (+4.1%) and 50DMA (+8.1%) with golden cross intact; Healthy RSI at 60.68 - in bullish zone but not overheated (below 70); Volume confirmation: 1.29x average with consistent uptrend across weekly and monthly timeframes,"Overbought on Bollinger Bands - vulnerable to mean reversion pullback; News vacuum - no fundamental catalyst to sustain rally, potential profit-taking risk; PSU sector volatility - government divestment/policy risks inherent to NBCC; Momentum exhaustion risk if fails to break above recent high decisively",72.0,1,15,Technical-only assessment (no recent news),"HOLD with vigilant monitoring. Technical structure remains intact with strong trend alignment and healthy momentum, presenting no immediate exit triggers. However, overbought positioning near 20-day highs warrants close attention for reversal signals. Absence of news creates uncertainty but doesn't justify exit absent breakdown confirmation.",close< 106.85 (swing_low - 1.0*ATR),4.48 (1.5×ATR),20DMA
24,PETRONET,PETRONET,18.0,neutral,HOLD,No significant technical deterioration - price above both 20D and 50D SMAs; Neutral RSI at 49.66 shows no oversold pressure; Recent uptrend with 2.05% momentum over 10 days,"Constructive technical setup: price trading above key moving averages (20D: +0.27%, 50D: +1.35%); Bollinger Band position (z=0.28) indicates neutral positioning with room to run; Recent trend positive with 10D momentum at +2.05%, no death cross formation",Below-average volume (0.82x ratio) suggests weak conviction in recent move; Weekly trend shows 'down' despite monthly uptrend - potential short-term weakness; Lack of news flow means no fundamental catalysts to drive further upside; Petronet LNG sector faces potential margin pressure from gas pricing dynamics; Distance from 20D high minimal (2.19%) - limited upside cushion immediately,72.0,1,15,Technical-only assessment (no recent news),"HOLD position with no urgent exit signals. Technical structure remains intact with price above key SMAs and neutral RSI. While volume weakness and lack of catalysts warrant monitoring, no material breakdown or fundamental deterioration justifies exit. Consider trimming on rallies above ₹285 or adding stop-loss at ₹272 (50D SMA support).",close< 271.01 (swing_low - 1.0*ATR),6.88 (1.5×ATR),20DMA
