rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
11,VIKRAMAR,VIKRAMAR,46.0,neutral,HOLD,AI service error; Price 9.7% below 50-day SMA; Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,AI service error,40.0,1,45,Technical-only assessment (no recent news),"HOLD suggested. Tech=45/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 73.50 (swing_low - 1.0*ATR),close< 73.50 (swing_low - 1.0*ATR),7.05 (1.5×ATR),20DMA
12,GATECHDVR,GATECHDVR,42.0,neutral,HOLD,AI service error; Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,AI service error,40.0,1,40,Technical-only assessment (no recent news),"HOLD suggested. Tech=40/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 0.47 (swing_low - 1.0*ATR),close< 0.47 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
13,BANARBEADS,BANARBEADS,38.0,neutral,HOLD,AI service error; Price 6.2% below 20-day SMA (breakdown); Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,35,Technical-only assessment (no recent news),"HOLD suggested. Tech=35/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 126.81 (swing_low - 1.0*ATR),close< 126.81 (swing_low - 1.0*ATR),11.56 (1.5×ATR),20DMA
14,MGL,MGL,38.0,neutral,HOLD,AI service error; RSI oversold at 29.2 (potential further downside); Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,35,Technical-only assessment (no recent news),"HOLD suggested. Tech=35/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 1201.23 (swing_low - 1.0*ATR),close< 1201.23 (swing_low - 1.0*ATR),30.26 (1.5×ATR),20DMA
15,GLENMARK,GLENMARK,36.6,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,35,Technical-only assessment (no recent news),Tech-driven assessment: score=43; signals: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),,close< 1770.77 (swing_low - 1.0*ATR),close< 1770.77 (swing_low - 1.0*ATR),59.44 (1.5×ATR),20DMA
16,DBCORP,DBCORP,36.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,AI service error,40.0,1,33,Technical-only assessment (no recent news),"HOLD suggested. Tech=33/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 230.22 (swing_low - 1.0*ATR),close< 230.22 (swing_low - 1.0*ATR),13.76 (1.5×ATR),20DMA
17,CAPACITE,CAPACITE,32.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,AI service error,40.0,1,28,Technical-only assessment (no recent news),"HOLD suggested. Tech=28/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 262.99 (swing_low - 1.0*ATR),close< 262.99 (swing_low - 1.0*ATR),12.01 (1.5×ATR),20DMA
18,EASEMYTRIP,EASEMYTRIP,26.0,neutral,HOLD,AI service error; Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,AI service error,40.0,1,20,Technical-only assessment (no recent news),"HOLD suggested. Tech=20/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 7.69 (swing_low - 1.0*ATR),close< 7.69 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
19,DEEPAKNTR,DEEPAKNTR,22.0,neutral,HOLD,AI service error; Low volume on downtrend (weak support); Daily and weekly trends aligned down,No urgent exit signals,AI service error,40.0,1,15,Technical-only assessment (no recent news),"HOLD suggested. Tech=15/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 1698.99 (swing_low - 1.0*ATR),close< 1698.99 (swing_low - 1.0*ATR),38.87 (1.5×ATR),20DMA
20,SAGILITY,SAGILITY,20.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support); High short-term volatility (ATR 4.5% of price),No urgent exit signals,AI service error,40.0,1,13,Technical-only assessment (no recent news),"HOLD suggested. Tech=13/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 42.00 (swing_low - 1.0*ATR),close< 42.00 (swing_low - 1.0*ATR),3.49 (1.5×ATR),20DMA
21,IDBI,IDBI,20.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support); High short-term volatility (ATR 3.6% of price),No urgent exit signals,AI service error,40.0,1,13,Technical-only assessment (no recent news),"HOLD suggested. Tech=13/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 88.16 (swing_low - 1.0*ATR),close< 88.16 (swing_low - 1.0*ATR),5.34 (1.5×ATR),20DMA
22,PETRONET,PETRONET,16.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,8,Technical-only assessment (no recent news),"HOLD suggested. Tech=8/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 270.12 (swing_low - 1.0*ATR),close< 270.12 (swing_low - 1.0*ATR),7.32 (1.5×ATR),20DMA
23,BHEL,BHEL,16.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,8,Technical-only assessment (no recent news),"HOLD suggested. Tech=8/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 224.72 (swing_low - 1.0*ATR),close< 224.72 (swing_low - 1.0*ATR),9.33 (1.5×ATR),20DMA
24,HUDCO,HUDCO,16.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,8,Technical-only assessment (no recent news),"HOLD suggested. Tech=8/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 219.46 (swing_low - 1.0*ATR),close< 219.46 (swing_low - 1.0*ATR),7.65 (1.5×ATR),20DMA
25,RBLBANK,RBLBANK,16.4,neutral,HOLD,AI service error; Low volume on downtrend (weak support),No urgent exit signals,AI service error,40.0,1,8,Technical-only assessment (no recent news),"HOLD suggested. Tech=8/100, FundRisk~50/100, SentimentRisk~50/100. Provider=gemini.",,close< 281.20 (swing_low - 1.0*ATR),close< 281.20 (swing_low - 1.0*ATR),13.21 (1.5×ATR),20DMA
