rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
12,VIKRAMAR,VIKRAMAR,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 73.13 (swing_low - 1.0*ATR),7.61 (1.5×ATR),20DMA
13,BHEL,BHEL,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 224.73 (swing_low - 1.0*ATR),9.32 (1.5×ATR),20DMA
14,CAPACITE,CAPACITE,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 263.61 (swing_low - 1.0*ATR),11.09 (1.5×ATR),20DMA
15,CROMPTON,CROMPTON,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 274.38 (swing_low - 1.0*ATR),8.58 (1.5×ATR),20DMA
16,DATAPATTNS,DATAPATTNS,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 2621.56 (swing_low - 1.0*ATR),113.46 (1.5×ATR),20DMA
17,EASEMYTRIP,EASEMYTRIP,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 7.70 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
18,GATECHDVR,GATECHDVR,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
19,HUDCO,HUDCO,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 219.09 (swing_low - 1.0*ATR),8.20 (1.5×ATR),20DMA
20,IDBI,IDBI,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 87.77 (swing_low - 1.0*ATR),5.22 (1.5×ATR),20DMA
21,MGL,MGL,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 1249.11 (swing_low - 1.0*ATR),33.89 (1.5×ATR),20DMA
22,NBCC,NBCC,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 106.85 (swing_low - 1.0*ATR),4.48 (1.5×ATR),20DMA
23,RBLBANK,RBLBANK,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 262.74 (swing_low - 1.0*ATR),16.21 (1.5×ATR),20DMA
24,GLENMARK,GLENMARK,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 1771.01 (swing_low - 1.0*ATR),62.53 (1.5×ATR),20DMA
25,INDINFO,INDINFO,80.0,neutral,IMMEDIATE_EXIT,Heuristic analysis: anthropic library not installed,,,50.0,1,80,Technical-only assessment (no recent news),,close< 0.69 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
